age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
61,unemployed,married,primary,no,1414,no,no,cellular,30,jan,2,-1,0,unknown,no
38,entrepreneur,married,tertiary,no,4600,no,no,unknown,16,jun,4,-1,0,unknown,yes
49,blue-collar,divorced,primary,no,1584,yes,no,unknown,3,jun,2,-1,0,unknown,yes
45,management,divorced,tertiary,no,1786,yes,no,unknown,8,may,2,-1,0,unknown,yes
56,technician,married,secondary,no,1176,no,yes,cellular,10,jul,1,-1,0,unknown,yes
31,technician,single,secondary,no,2296,yes,no,unknown,6,jun,2,-1,0,unknown,no
51,services,married,secondary,no,1840,no,no,telephone,9,feb,4,-1,0,unknown,yes
36,self-employed,single,tertiary,no,1882,no,no,cellular,21,aug,3,-1,0,unknown,yes
42,management,married,tertiary,no,1958,yes,no,cellular,20,nov,1,-1,0,unknown,no
39,technician,single,secondary,no,1650,yes,no,cellular,20,aug,2,-1,0,unknown,no
46,technician,single,secondary,no,1664,yes,no,cellular,12,aug,4,-1,0,unknown,yes
45,technician,married,secondary,no,4777,yes,no,unknown,13,may,2,-1,0,unknown,yes
29,admin.,married,secondary,no,2452,yes,no,unknown,9,may,1,-1,0,unknown,no
31,management,married,tertiary,no,1640,yes,yes,unknown,7,may,4,-1,0,unknown,yes
31,blue-collar,single,secondary,no,2325,yes,no,unknown,20,jun,1,-1,0,unknown,yes
29,services,married,secondary,no,1494,yes,no,cellular,22,jul,13,-1,0,unknown,yes
34,admin.,single,secondary,no,2206,yes,no,cellular,4,feb,1,246,4,failure,yes
58,housemaid,divorced,primary,yes,2656,no,no,unknown,5,jun,1,-1,0,unknown,yes
32,services,single,tertiary,no,938,no,yes,cellular,21,aug,2,-1,0,unknown,yes
60,management,married,tertiary,no,3308,no,no,cellular,17,nov,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,6370,yes,no,cellular,10,aug,1,397,1,failure,no
40,blue-collar,married,secondary,no,1882,yes,no,unknown,7,may,1,-1,0,unknown,no
32,technician,single,secondary,no,4607,yes,no,unknown,3,jun,2,-1,0,unknown,no
51,blue-collar,single,primary,no,3370,yes,no,cellular,7,may,2,353,2,other,yes
33,technician,single,secondary,no,1852,no,no,cellular,11,aug,2,-1,0,unknown,no
40,entrepreneur,married,secondary,no,2013,yes,yes,cellular,24,jul,24,-1,0,unknown,yes
50,management,married,tertiary,no,1817,yes,no,telephone,18,nov,3,-1,0,unknown,no
42,management,single,tertiary,no,2775,no,no,cellular,29,jan,1,-1,0,unknown,yes
40,services,married,secondary,no,1547,no,yes,cellular,16,jul,6,-1,0,unknown,no
47,blue-collar,single,secondary,no,1496,yes,no,cellular,26,apr,1,192,4,failure,yes
58,admin.,married,secondary,no,1559,no,no,unknown,5,may,1,-1,0,unknown,yes
28,unemployed,single,secondary,no,2089,no,no,cellular,28,jan,2,-1,0,unknown,yes
35,admin.,married,secondary,no,1478,yes,no,telephone,17,jul,7,-1,0,unknown,yes
33,management,married,tertiary,no,2643,yes,yes,cellular,24,jul,2,-1,0,unknown,yes
37,self-employed,single,secondary,no,3234,no,no,telephone,21,nov,3,-1,0,unknown,no
31,management,married,tertiary,no,1739,yes,no,cellular,18,may,2,356,4,failure,no
32,blue-collar,single,secondary,no,1732,no,no,cellular,23,jun,1,-1,0,unknown,yes
62,retired,married,secondary,no,1612,no,no,cellular,7,oct,1,-1,0,unknown,no
37,unemployed,married,secondary,no,2398,no,no,cellular,29,dec,3,209,3,success,yes
56,blue-collar,married,secondary,no,1416,no,no,telephone,16,apr,1,150,1,failure,no
41,management,divorced,tertiary,no,2737,yes,no,cellular,19,nov,4,126,1,failure,no
53,self-employed,married,secondary,no,1516,yes,no,cellular,23,jul,4,-1,0,unknown,yes
34,management,divorced,tertiary,no,2291,no,no,cellular,12,aug,6,-1,0,unknown,yes
34,blue-collar,single,secondary,no,1549,yes,no,cellular,17,jul,1,-1,0,unknown,yes
48,blue-collar,married,secondary,no,937,yes,no,unknown,15,may,2,-1,0,unknown,yes
42,management,married,tertiary,no,206,yes,no,cellular,15,may,2,333,18,failure,no
47,services,single,primary,no,3312,yes,no,unknown,3,jun,6,-1,0,unknown,yes
45,blue-collar,married,secondary,no,2220,yes,yes,cellular,20,nov,2,122,2,other,yes
46,blue-collar,married,secondary,no,3941,yes,no,unknown,29,may,2,-1,0,unknown,no
34,admin.,single,secondary,no,1067,yes,no,unknown,26,may,3,-1,0,unknown,yes
50,blue-collar,married,primary,no,1967,yes,no,unknown,15,may,2,-1,0,unknown,no
49,housemaid,married,primary,no,1530,no,no,cellular,10,aug,2,-1,0,unknown,no
54,management,single,tertiary,no,1605,no,no,cellular,26,aug,6,-1,0,unknown,yes
51,management,divorced,tertiary,no,2171,no,no,cellular,31,jul,4,-1,0,unknown,yes
31,self-employed,single,secondary,no,5091,yes,yes,unknown,28,may,1,-1,0,unknown,no
61,retired,married,unknown,no,2450,no,no,unknown,11,jun,1,-1,0,unknown,yes
32,management,married,tertiary,no,2402,no,no,cellular,17,jul,1,-1,0,unknown,no
48,self-employed,married,secondary,no,1969,no,no,cellular,12,aug,4,-1,0,unknown,yes
50,blue-collar,married,secondary,no,2673,yes,yes,cellular,15,may,9,-1,0,unknown,no
62,housemaid,married,primary,no,1916,no,no,unknown,12,jun,3,-1,0,unknown,no
37,blue-collar,single,secondary,no,1419,yes,no,cellular,16,apr,1,345,4,other,yes
40,technician,single,secondary,no,1292,yes,no,cellular,18,may,3,278,6,success,yes
41,management,married,secondary,no,2475,yes,no,unknown,27,may,2,-1,0,unknown,no
36,management,married,tertiary,no,4382,yes,yes,cellular,30,jul,7,-1,0,unknown,no
39,entrepreneur,divorced,tertiary,no,1490,no,no,cellular,18,nov,2,-1,0,unknown,yes
36,entrepreneur,married,tertiary,no,1979,yes,yes,cellular,9,jul,1,-1,0,unknown,no
41,housemaid,married,primary,no,1668,no,no,unknown,9,jun,5,-1,0,unknown,no
39,technician,single,secondary,no,1223,yes,no,cellular,13,aug,6,-1,0,unknown,yes
38,services,married,secondary,no,4530,yes,no,telephone,11,may,4,-1,0,unknown,no
33,management,married,tertiary,no,1829,yes,no,cellular,18,jul,2,-1,0,unknown,yes
60,admin.,single,secondary,no,3748,no,no,cellular,4,dec,2,114,1,success,no
29,blue-collar,married,secondary,no,2266,yes,no,cellular,17,apr,3,-1,0,unknown,no
32,blue-collar,single,secondary,no,2632,yes,no,cellular,5,may,4,-1,0,unknown,no
49,admin.,divorced,secondary,no,1638,no,no,cellular,28,aug,4,-1,0,unknown,yes
33,blue-collar,single,secondary,no,2038,yes,no,cellular,14,apr,1,335,1,failure,no
30,student,single,secondary,no,1663,no,no,cellular,23,jul,2,-1,0,unknown,yes
